,RAW_station,MONTH,CRUISE_MO,DAY,YEAR,TRANSECT,NM_SHORE,STATION,LATITUDE,LONGITUDE,DEPTH_M,nanchov,psardine,pherring,seanett
39,062704CM03,6,6,27,2004,CM,3,CM3,45.48,-124.03,54.9,0,6793.12,9.31,1488.9
40,062707CM03,6,6,27,2007,CM,3,CM3,45.48,-124.03,54.9,0,7.94,23.82,15.88
41,062710CM03,6,6,27,2010,CM,3,CM3,45.48,-124.03,54.9,0,0,0,35.26
42,062808CM03,6,6,28,2008,CM,3,CM3,45.48,-124.03,54.9,0,0,0,1221.16
43,062901CM03,6,6,29,2001,CM,3,CM3,45.48,-124.03,54.9,58.38,0,0,9.73
44,062909CM03,6,6,29,2009,CM,3,CM3,45.48,-124.03,54.9,0,0,0,342.51
45,063003CM03,6,6,30,2003,CM,3,CM3,45.48,-124.03,54.9,0,19.41,0,533.67
46,061798CR02,6,6,17,1998,CR,2,CR2,46.15,-124.03,18.29,0,0,0,0
47,062105CH02,6,6,21,2005,CH,2,CH2,45.05,-124.07,54.9,14.97,0,0,0
48,062202CH02,6,6,22,2002,CH,2,CH2,45.05,-124.07,54.9,0,113297.32,0,0
49,062298CH02,6,6,22,1998,CH,2,CH2,45.05,-124.07,54.9,0,0,96.66,0
50,062299CH02,6,6,22,1999,CH,2,CH2,45.05,-124.07,54.9,32.85,0,0,0
51,062706CH02,6,6,27,2006,CH,2,CH2,45.05,-124.07,54.9,0,0,0,0
52,062804CH02,6,6,28,2004,CH,2,CH2,45.05,-124.07,54.9,0,10119.21,82.49,10568.34
53,063001CH02,6,6,30,2001,CH,2,CH2,45.05,-124.07,54.9,9.28,55.71,18.57,891.31
54,061905CR04,6,6,19,2005,CR,4,CR4,46.17,-124.07,27.4,38.15,0,0,9.54
55,061999CR04,6,6,19,1999,CR,4,CR4,46.17,-124.07,27.4,117.18,0,91402.97,0
56,062000CR04,6,6,20,2000,CR,4,CR4,46.17,-124.07,27.4,0,0,0,134.45
57,062302CR04,6,6,23,2002,CR,4,CR4,46.17,-124.07,27.4,0,0,0,169.58
58,062406CR04,6,6,24,2006,CR,4,CR4,46.17,-124.07,27.4,15.03,0,0,3066.19
59,062511CR04,6,6,25,2011,CR,4,CR4,46.17,-124.07,27.4,27.78,0,0,9.26
60,062604CR04,6,6,26,2004,CR,4,CR4,46.17,-124.07,27.4,0,906.39,0,2082.96
61,062607CR04,6,6,26,2007,CR,4,CR4,46.17,-124.07,27.4,0,0,0,504.45
62,062610CR04,6,6,26,2010,CR,4,CR4,46.17,-124.07,27.4,0,0,0,1918.37
63,062708CR04,6,6,27,2008,CR,4,CR4,46.17,-124.07,27.4,0,9.94,0,1888.16
64,062801CR04,6,6,28,2001,CR,4,CR4,46.17,-124.07,27.4,0,0,53663.96,541.15
65,062803CR04,6,6,28,2003,CR,4,CR4,46.17,-124.07,27.4,0,0,0,9492.12
66,062809CR04,6,6,28,2009,CR,4,CR4,46.17,-124.07,27.4,0,0,0,8070.57
67,061798CR05,6,6,17,1998,CR,5,CR5,46.12,-124.08,40.2336,243.06,0,433.29,0
68,061900CM05,6,6,19,2000,CM,5,CM5,45.48,-124.09,80.5,7.81,320.12,0,23.42
69,062005CM05,6,6,20,2005,CM,5,CM5,45.48,-124.09,80.5,285.44,0,0,0
70,062199CM05,6,6,21,1999,CM,5,CM5,45.48,-124.09,80.5,0,29.55,0,19.7
71,062302CM05,6,6,23,2002,CM,5,CM5,45.48,-124.09,80.5,0,0,0,10.6
72,062598CM05,6,6,25,1998,CM,5,CM5,45.48,-124.09,80.5,0,23.17,61.78,0
73,062606CM05,6,6,26,2006,CM,5,CM5,45.48,-124.09,80.5,0,0,0,0
74,062611CM05,6,6,26,2011,CM,5,CM5,45.48,-124.09,80.5,0,0,0,8.04
75,062704CM05,6,6,27,2004,CM,5,CM5,45.48,-124.09,80.5,8324.76,180.41,0,283.51
76,062710CM05,6,6,27,2010,CM,5,CM5,45.48,-124.09,80.5,0,0,0,16.34
77,062808CM05,6,6,28,2008,CM,5,CM5,45.48,-124.09,80.5,0,0,0,114.71
78,062901CM05,6,6,29,2001,CM,5,CM5,45.48,-124.09,80.5,0,0,0,29.68
79,062909CM05,6,6,29,2009,CM,5,CM5,45.48,-124.09,80.5,0,0,0,16.38
80,063003CM05,6,6,30,2003,CM,5,CM5,45.48,-124.09,80.5,0,0,0,277.05
81,062198CF07,6,6,21,1998,CF,7,CF7,45.73,-124.11,73.2,0,0,0,0
82,062499CF07,6,6,24,1999,CF,7,CF7,45.73,-124.11,73.2,0,0,0,0
83,062105CH05,6,6,21,2005,CH,5,CH5,45.05,-124.13,86,0,0,0,68.71
84,062202CH05,6,6,22,2002,CH,5,CH5,45.05,-124.13,86,0,0,0,0
85,062298CH05,6,6,22,1998,CH,5,CH5,45.05,-124.13,86,0,0,9.86,0
86,062299CH05,6,6,22,1999,CH,5,CH5,45.05,-124.13,86,0,0,0,0
87,062706CH05,6,6,27,2006,CH,5,CH5,45.05,-124.13,86,0,0,0,0
88,062804CH05,6,6,28,2004,CH,5,CH5,45.05,-124.13,86,0,99.7,1776.53,8746.69
89,063001CH05,6,6,30,2001,CH,5,CH5,45.05,-124.13,86,0,0,0,157.56
90,061800NH03,6,6,18,2000,NH,3,NH3,44.67,-124.13,46,0,0,0,1064.51
91,062711NH03,6,6,27,2011,NH,3,NH3,44.67,-124.13,46,0,0,0,1386.41
92,062806NH03,6,6,28,2006,NH,3,NH3,44.67,-124.13,46,0,0,0,3864.43
93,062807NH03,6,6,28,2007,NH,3,NH3,44.67,-124.13,46,0,0,0,3857.04
94,062810NH03,6,6,28,2010,NH,3,NH3,44.67,-124.13,46,0,0,0,909.83
95,062904NH03,6,6,29,2004,NH,3,NH3,44.67,-124.13,46,100.92,7.76,0,1249.8
96,062908NH03,6,6,29,2008,NH,3,NH3,44.67,-124.13,46,0,0,0,299.55
97,063009NH03,6,6,30,2009,NH,3,NH3,44.67,-124.13,46,0,0,0,1483.49
98,061698CR07,6,6,16,1998,CR,7,CR7,46.17,-124.15,54.9,15.73,0,125.84,0
99,061905CR07,6,6,19,2005,CR,7,CR7,46.17,-124.15,54.9,322.59,16.98,0,33.96
100,061999CR07,6,6,19,1999,CR,7,CR7,46.17,-124.15,54.9,395.98,0,0,0
101,062000CR07,6,6,20,2000,CR,7,CR7,46.17,-124.15,54.9,7.95,1312.56,47.73,103.41
102,062402CR07,6,6,24,2002,CR,7,CR7,46.17,-124.15,54.9,0,0,0,199.08
103,062406CR07,6,6,24,2006,CR,7,CR7,46.17,-124.15,54.9,0,0,0,287.98
104,062511CR07,6,6,25,2011,CR,7,CR7,46.17,-124.15,54.9,0,0,0,0
105,062604CR07,6,6,26,2004,CR,7,CR7,46.17,-124.15,54.9,1715.64,2106.42,19.06,419.38
106,062607CR07,6,6,26,2007,CR,7,CR7,46.17,-124.15,54.9,0,0,8.04,1793.95
107,062610CR07,6,6,26,2010,CR,7,CR7,46.17,-124.15,54.9,9.22,0,0,1005.35
108,062708CR07,6,6,27,2008,CR,7,CR7,46.17,-124.15,54.9,0,0,0,149197.37
109,062801CR07,6,6,28,2001,CR,7,CR7,46.17,-124.15,54.9,0,0,30.24,846.66
110,062803CR07,6,6,28,2003,CR,7,CR7,46.17,-124.15,54.9,0,0,45.44,2710.99
111,062809CR07,6,6,28,2009,CR,7,CR7,46.17,-124.15,54.9,15.37,0,38.41,507.07
112,061700NH05,6,6,17,2000,NH,5,NH5,44.67,-124.17,58.5,0,0,0,157.76
113,062102NH05,6,6,21,2002,NH,5,NH5,44.67,-124.17,58.5,0,0,9.86,1064.74
114,062205NH05,6,6,22,2005,NH,5,NH5,44.67,-124.17,58.5,0,0,0,0
115,062398NH05,6,6,23,1998,NH,5,NH5,44.67,-124.17,58.5,386.71,85.93,42.97,0
116,062399NH05,6,6,23,1999,NH,5,NH5,44.67,-124.17,58.5,0,0,0,0
117,062711NH05,6,6,27,2011,NH,5,NH5,44.67,-124.17,58.5,0,0,11.48,1216.65
118,062806NH05,6,6,28,2006,NH,5,NH5,44.67,-124.17,58.5,0,0,9.6,67.23
119,062810NH05,6,6,28,2010,NH,5,NH5,44.67,-124.17,58.5,0,0,0,221.19
120,062904NH05,6,6,29,2004,NH,5,NH5,44.67,-124.17,58.5,7.78,116.77,7.78,2444.33
121,062908NH05,6,6,29,2008,NH,5,NH5,44.67,-124.17,58.5,0,0,0,145.44
122,063009NH05,6,6,30,2009,NH,5,NH5,44.67,-124.17,58.5,0,0,0,0
123,062198CF10,6,6,21,1998,CF,10,CF10,45.73,-124.18,109.7,0,35.02,0,0
124,062499CF10,6,6,24,1999,CF,10,CF10,45.73,-124.18,109.7,0,0,0,0
125,061805WB05,6,6,18,2005,WB,5,WB5,46.67,-124.18,27.4,898.79,0,861.34,1086.04
126,061899WB05,6,6,18,1999,WB,5,WB5,46.67,-124.18,27.4,0,0,24.17,72.51
127,061998WB05,6,6,19,1998,WB,5,WB5,46.67,-124.18,27.4,57.39,19.13,4017.34,0
128,062306WB05,6,6,23,2006,WB,5,WB5,46.67,-124.18,27.4,0,0,0,116459.43
129,062411WB05,6,6,24,2011,WB,5,WB5,46.67,-124.18,27.4,19.61,0,0,2716.43
130,062502WB05,6,6,25,2002,WB,5,WB5,46.67,-124.18,27.4,611.03,0,75040.25,17340.48
131,062504WB05,6,6,25,2004,WB,5,WB5,46.67,-124.18,27.4,39190.74,111002.42,0,10952.46
132,062507WB05,6,6,25,2007,WB,5,WB5,46.67,-124.18,27.4,19.48,0,9.74,0
133,062510WB05,6,6,25,2010,WB,5,WB5,46.67,-124.18,27.4,104350.07,0,9.64,539.58
134,062608WB05,6,6,26,2008,WB,5,WB5,46.67,-124.18,27.4,0,0,58.08,14230.12
135,062701WB05,6,6,27,2001,WB,5,WB5,46.67,-124.18,27.4,0,0,0,21588.24
136,062703WB05,6,6,27,2003,WB,5,WB5,46.67,-124.18,27.4,2626.15,0,36452.65,22478.95
137,062709WB05,6,6,27,2009,WB,5,WB5,46.67,-124.18,27.4,0,0,15.85,1062.24
138,061900CM10,6,6,19,2000,CM,10,CM10,45.48,-124.2,135.3,0,7.47,0,37.37
139,062005CM10,6,6,20,2005,CM,10,CM10,45.48,-124.2,135.3,118227.41,190.25,0,10.57
140,062302CM10,6,6,23,2002,CM,10,CM10,45.48,-124.2,135.3,0,0,0,0
141,062606CM10,6,6,26,2006,CM,10,CM10,45.48,-124.2,135.3,0,0,0,13.76
142,062611CM10,6,6,26,2011,CM,10,CM10,45.48,-124.2,135.3,0,0,0,0
143,062704CM10,6,6,27,2004,CM,10,CM10,45.48,-124.2,135.3,0,49.45,0,0
144,062707CM10,6,6,27,2007,CM,10,CM10,45.48,-124.2,135.3,0,0,0,0
145,062710CM10,6,6,27,2010,CM,10,CM10,45.48,-124.2,135.3,90.42,0,0,0
146,062808CM10,6,6,28,2008,CM,10,CM10,45.48,-124.2,135.3,0,0,0,16.27
147,062901CM10,6,6,29,2001,CM,10,CM10,45.48,-124.2,135.3,20.72,20.72,0,0
148,062909CM10,6,6,29,2009,CM,10,CM10,45.48,-124.2,135.3,14814.86,0,0,0
149,063003CM10,6,6,30,2003,CM,10,CM10,45.48,-124.2,135.3,0,0,445.14,0
150,062498CP03,6,6,24,1998,CP,3,CP3,44.25,-124.2,54.9,0,599.54,0,0
151,061798CR10,6,6,17,1998,CR,10,CR10,46.17,-124.21,82.3,31.17,0,15.58,0
152,061905CR10,6,6,19,2005,CR,10,CR10,46.17,-124.21,82.3,491.72,31.39,0,408.02
153,061999CR10,6,6,19,1999,CR,10,CR10,46.17,-124.21,82.3,0,0,40.88,0
154,062000CR10,6,6,20,2000,CR,10,CR10,46.17,-124.21,82.3,0,32.82,8.21,41.03
155,062402CR10,6,6,24,2002,CR,10,CR10,46.17,-124.21,82.3,0,0,0,147.34
156,062406CR10,6,6,24,2006,CR,10,CR10,46.17,-124.21,82.3,26.58,0,39.87,225.95
157,062511CR10,6,6,25,2011,CR,10,CR10,46.17,-124.21,82.3,0,0,0,44.34
158,062604CR10,6,6,26,2004,CR,10,CR10,46.17,-124.21,82.3,1329.06,149.52,0,805.74
159,062607CR10,6,6,26,2007,CR,10,CR10,46.17,-124.21,82.3,0,0,734.81,194.77
160,062610CR10,6,6,26,2010,CR,10,CR10,46.17,-124.21,82.3,292.33,0,0,980.18
161,062708CR10,6,6,27,2008,CR,10,CR10,46.17,-124.21,82.3,8358.84,0,0,5737.09
162,062801CR10,6,6,28,2001,CR,10,CR10,46.17,-124.21,82.3,10.08,534.03,0,201.52
163,062803CR10,6,6,28,2003,CR,10,CR10,46.17,-124.21,82.3,0,118852.42,0,0
164,062809CR10,6,6,28,2009,CR,10,CR10,46.17,-124.21,82.3,16.56,0,331.24,165.62
165,062202CH10,6,6,22,2002,CH,10,CH10,45.05,-124.23,146.3,0,0,0,0
166,062298CH10,6,6,22,1998,CH,10,CH10,45.05,-124.23,146.3,0,223.59,9.72,0
167,062299CH10,6,6,22,1999,CH,10,CH10,45.05,-124.23,146.3,0,0,0,0
168,062706CH10,6,6,27,2006,CH,10,CH10,45.05,-124.23,146.3,19.85,0,0,9.93
169,062804CH10,6,6,28,2004,CH,10,CH10,45.05,-124.23,146.3,0,8.1,0,24.31
170,063001CH10,6,6,30,2001,CH,10,CH10,45.05,-124.23,146.3,0,0,0,0
171,062311GH03,6,6,23,2011,GH,3,GH3,47,-124.24,27.4,0,0,310.42,873.06
172,062404GH03,6,6,24,2004,GH,3,GH3,47,-124.24,27.4,11.77,12463.19,0,42297.18
173,062407GH03,6,6,24,2007,GH,3,GH3,47,-124.24,27.4,194.39,0,22290.59,21496.81
174,062410GH03,6,6,24,2010,GH,3,GH3,47,-124.24,27.4,127835.16,0,0,2981.49
175,062508GH03,6,6,25,2008,GH,3,GH3,47,-124.24,27.4,0,0,19.22,2017.62
176,062603GH03,6,6,26,2003,GH,3,GH3,47,-124.24,27.4,10.95,0,3701.51,7523.49
177,062609GH03,6,6,26,2009,GH,3,GH3,47,-124.24,27.4,79151.02,10.35,4223.04,455.43
178,061800NH10,6,6,18,2000,NH,10,NH10,44.67,-124.28,82.3,0,0,0,0
179,062102NH10,6,6,21,2002,NH,10,NH10,44.67,-124.28,82.3,0,0,0,43.91
180,062205NH10,6,6,22,2005,NH,10,NH10,44.67,-124.28,82.3,0,0,0,0
181,062399NH10,6,6,23,1999,NH,10,NH10,44.67,-124.28,82.3,0,0,0,9.85
182,062711NH10,6,6,27,2011,NH,10,NH10,44.67,-124.28,82.3,8.35,0,8.35,0
183,062806NH10,6,6,28,2006,NH,10,NH10,44.67,-124.28,82.3,0,0,0,0
184,062807NH10,6,6,28,2007,NH,10,NH10,44.67,-124.28,82.3,123.88,95.29,66.7,0
185,062810NH10,6,6,28,2010,NH,10,NH10,44.67,-124.28,82.3,31.1,0,0,0
186,062904NH10,6,6,29,2004,NH,10,NH10,44.67,-124.28,82.3,0,1373.01,16.74,0
187,062908NH10,6,6,29,2008,NH,10,NH10,44.67,-124.28,82.3,0,0,0,0
188,063009NH10,6,6,30,2009,NH,10,NH10,44.67,-124.28,82.3,0,0,0,0
189,061805WB09,6,6,18,2005,WB,9,WB9,46.67,-124.29,54.9,0,0,0,31.02
190,061899WB09,6,6,18,1999,WB,9,WB9,46.67,-124.29,54.9,0,0,0,23.2
191,062306WB09,6,6,23,2006,WB,9,WB9,46.67,-124.29,54.9,25.95,0,0,1687.02
192,062411WB09,6,6,24,2011,WB,9,WB9,46.67,-124.29,54.9,2986.51,0,0,130.99
193,062502WB09,6,6,25,2002,WB,9,WB9,46.67,-124.29,54.9,0,9.97,129.67,1077.26
194,062504WB09,6,6,25,2004,WB,9,WB9,46.67,-124.29,54.9,0,8.4,0,0
195,062507WB09,6,6,25,2007,WB,9,WB9,46.67,-124.29,54.9,96.11,680.76,8.01,0
196,062510WB09,6,6,25,2010,WB,9,WB9,46.67,-124.29,54.9,281.2,0,0,72.57
197,062608WB09,6,6,26,2008,WB,9,WB9,46.67,-124.29,54.9,0,0,133.29,3056.15
198,062701WB09,6,6,27,2001,WB,9,WB9,46.67,-124.29,54.9,0,0,0,0
199,062703WB09,6,6,27,2003,WB,9,WB9,46.67,-124.29,54.9,8.4,0,0,605.1
200,062709WB09,6,6,27,2009,WB,9,WB9,46.67,-124.29,54.9,0,0,0,1737.32
201,062198CF15,6,6,21,1998,CF,15,CF15,45.73,-124.3,140.8,0,26.29,0,0
202,062499CF15,6,6,24,1999,CF,15,CF15,45.73,-124.3,140.8,0,0,0,0
203,061900CM15,6,6,19,2000,CM,15,CM15,45.48,-124.32,179.2,0,0,0,0
204,062005CM15,6,6,20,2005,CM,15,CM15,45.48,-124.32,179.2,4089.15,0,0,25.64
205,062199CM15,6,6,21,1999,CM,15,CM15,45.48,-124.32,179.2,0,0,0,0
206,062302CM15,6,6,23,2002,CM,15,CM15,45.48,-124.32,179.2,0,0,0,0
207,062606CM15,6,6,26,2006,CM,15,CM15,45.48,-124.32,179.2,0,8.84,0,0
208,062611CM15,6,6,26,2011,CM,15,CM15,45.48,-124.32,179.2,0,0,0,0
209,062704CM15,6,6,27,2004,CM,15,CM15,45.48,-124.32,179.2,18532.96,34.43,0,0
210,062707CM15,6,6,27,2007,CM,15,CM15,45.48,-124.32,179.2,0,0,0,0
211,062710CM15,6,6,27,2010,CM,15,CM15,45.48,-124.32,179.2,56.01,9.33,0,0
212,062808CM15,6,6,28,2008,CM,15,CM15,45.48,-124.32,179.2,0,0,9.93,0
213,062901CM15,6,6,29,2001,CM,15,CM15,45.48,-124.32,179.2,70.52,20.15,0,0
214,063003CM15,6,6,30,2003,CM,15,CM15,45.48,-124.32,179.2,332.77,10.73,440.12,10.73
215,061605GH06,6,6,16,2005,GH,6,GH6,47,-124.32,38.4,0,0,0,6092.33
216,061899GH06,6,6,18,1999,GH,6,GH6,47,-124.32,38.4,0,0,23.15,0
217,062206GH06,6,6,22,2006,GH,6,GH6,47,-124.32,38.4,0,0,0,43.5
218,062311GH06,6,6,23,2011,GH,6,GH6,47,-124.32,38.4,9.35,0,0,1271.43
219,062400GH06,6,6,24,2000,GH,6,GH6,47,-124.32,38.4,1361.79,0,0,176.35
220,062404GH06,6,6,24,2004,GH,6,GH6,47,-124.32,38.4,12000.69,1217.59,0,11936.12
221,062407GH06,6,6,24,2007,GH,6,GH6,47,-124.32,38.4,0,0,0,38195.49
222,062410GH06,6,6,24,2010,GH,6,GH6,47,-124.32,38.4,0,9.71,0,436.87
223,062508GH06,6,6,25,2008,GH,6,GH6,47,-124.32,38.4,0,0,0,1028.09
224,062601GH06,6,6,26,2001,GH,6,GH6,47,-124.32,38.4,0,0,0,3158.64
225,062602GH06,6,6,26,2002,GH,6,GH6,47,-124.32,38.4,0,0,5817.45,24280.19
226,062603GH06,6,6,26,2003,GH,6,GH6,47,-124.32,38.4,0,0,0,26932.49
227,062609GH06,6,6,26,2009,GH,6,GH6,47,-124.32,38.4,0,0,2392.41,6328.92
228,061798CR15,6,6,17,1998,CR,15,CR15,46.17,-124.33,109.7,21.37,0,138.93,0
229,061905CR15,6,6,19,2005,CR,15,CR15,46.17,-124.33,109.7,1138.37,172.79,0,0
230,061999CR15,6,6,19,1999,CR,15,CR15,46.17,-124.33,109.7,0,0,0,0
231,062000CR15,6,6,20,2000,CR,15,CR15,46.17,-124.33,109.7,16.13,16.13,0,24.2
232,062402CR15,6,6,24,2002,CR,15,CR15,46.17,-124.33,109.7,0,0,0,272.33
233,062406CR15,6,6,24,2006,CR,15,CR15,46.17,-124.33,109.7,0,0,0,167.63
234,062511CR15,6,6,25,2011,CR,15,CR15,46.17,-124.33,109.7,0,0,0,156.04
235,062604CR15,6,6,26,2004,CR,15,CR15,46.17,-124.33,109.7,32.28,0,871.64,129.13
236,062607CR15,6,6,26,2007,CR,15,CR15,46.17,-124.33,109.7,0,8.47,0,16.94
237,062610CR15,6,6,26,2010,CR,15,CR15,46.17,-124.33,109.7,77.86,0,0,190.32
238,062708CR15,6,6,27,2008,CR,15,CR15,46.17,-124.33,109.7,944.49,0,0,199.65
239,062801CR15,6,6,28,2001,CR,15,CR15,46.17,-124.33,109.7,0,28.41,0,189.39
240,062803CR15,6,6,28,2003,CR,15,CR15,46.17,-124.33,109.7,0,16.7,1227.23,66.79
241,062809CR15,6,6,28,2009,CR,15,CR15,46.17,-124.33,109.7,8.65,614.06,0,0
242,062105CH15,6,6,21,2005,CH,15,CH15,45.05,-124.34,201.2,11.98,0,0,11.98
243,062202CH15,6,6,22,2002,CH,15,CH15,45.05,-124.34,201.2,0,0,0,0
244,062298CH15,6,6,22,1998,CH,15,CH15,45.05,-124.34,201.2,0,101.64,0,0
245,062706CH15,6,6,27,2006,CH,15,CH15,45.05,-124.34,201.2,0,0,0,0
246,062804CH15,6,6,28,2004,CH,15,CH15,45.05,-124.34,201.2,0,7.88,0,0
247,063001CH15,6,6,30,2001,CH,15,CH15,45.05,-124.34,201.2,0,0,0,21.16
248,062498CP10,6,6,24,1998,CP,10,CP10,44.25,-124.34,82.3,0,0,29.42,0
249,061800NH15,6,6,18,2000,NH,15,NH15,44.67,-124.4,91.4,0,0,11.52,0
250,062102NH15,6,6,21,2002,NH,15,NH15,44.67,-124.4,91.4,0,0,0,18.81
251,062399NH15,6,6,23,1999,NH,15,NH15,44.67,-124.4,91.4,0,0,0,0
252,062711NH15,6,6,27,2011,NH,15,NH15,44.67,-124.4,91.4,0,0,0,61.65
253,062806NH15,6,6,28,2006,NH,15,NH15,44.67,-124.4,91.4,0,0,0,9.46
254,062807NH15,6,6,28,2007,NH,15,NH15,44.67,-124.4,91.4,14.13,0,14.13,0
255,062810NH15,6,6,28,2010,NH,15,NH15,44.67,-124.4,91.4,0,0,0,0
256,062904NH15,6,6,29,2004,NH,15,NH15,44.67,-124.4,91.4,129.64,63117.47,190.14,0
257,062908NH15,6,6,29,2008,NH,15,NH15,44.67,-124.4,91.4,0,0,0,0
258,063009NH15,6,6,30,2009,NH,15,NH15,44.67,-124.4,91.4,0,0,0,0
259,061805WB14,6,6,18,2005,WB,14,WB14,46.67,-124.4,82.3,345.89,512.87,11.93,0
260,061998WB14,6,6,19,1998,WB,14,WB14,46.67,-124.4,82.3,8.93,17.85,0,0
261,062306WB14,6,6,23,2006,WB,14,WB14,46.67,-124.4,82.3,0,417.71,0,0
262,062411WB14,6,6,24,2011,WB,14,WB14,46.67,-124.4,82.3,29.43,0,0,88.3
263,062502WB14,6,6,25,2002,WB,14,WB14,46.67,-124.4,82.3,0,16.89,0,329.3
264,062504WB14,6,6,25,2004,WB,14,WB14,46.67,-124.4,82.3,5645.25,15165.84,0,0
265,062507WB14,6,6,25,2007,WB,14,WB14,46.67,-124.4,82.3,557.8,488.08,8.72,17.43
266,062510WB14,6,6,25,2010,WB,14,WB14,46.67,-124.4,82.3,0,17.78,0,8.89
267,062608WB14,6,6,26,2008,WB,14,WB14,46.67,-124.4,82.3,0,0,29.83,119.32
268,062701WB14,6,6,27,2001,WB,14,WB14,46.67,-124.4,82.3,0,0,0,14918.72
269,062703WB14,6,6,27,2003,WB,14,WB14,46.67,-124.4,82.3,32.69,0,0,76.27
270,062709WB14,6,6,27,2009,WB,14,WB14,46.67,-124.4,82.3,0,14625.51,0,0
271,061605GH10,6,6,16,2005,GH,10,GH10,47,-124.41,54.9,0,321.04,0,996.35
272,061898GH10,6,6,18,1998,GH,10,GH10,47,-124.41,54.9,338.71,20071.54,0,0
273,061899GH10,6,6,18,1999,GH,10,GH10,47,-124.41,54.9,0,23.79,0,23.79
274,062206GH10,6,6,22,2006,GH,10,GH10,47,-124.41,54.9,0,22.59,0,45.18
275,062311GH10,6,6,23,2011,GH,10,GH10,47,-124.41,54.9,0,16.96,0,3620.35
276,062400GH10,6,6,24,2000,GH,10,GH10,47,-124.41,54.9,202.43,2173.94,8.8,52.81
277,062404GH10,6,6,24,2004,GH,10,GH10,47,-124.41,54.9,0,17.27,0,11992.11
